rank	source_id	year	doi	title	venue	type
1	10.1023/b:lisp.0000029447.02190.42	2004	10.1023/b:lisp.0000029447.02190.42	Cost-Augmented Partial Evaluation of Functional Logic Programs	Higher-Order and Symbolic Computation	journal-article
2	10.1007/s10990-008-9038-0	2008	10.1007/s10990-008-9038-0	Adapting functional programs to higher order logic	Higher-Order and Symbolic Computation	journal-article
3	10.1023/b:lisp.0000029445.29210.ca	2004	10.1023/b:lisp.0000029445.29210.ca	Implementing Coloured Petri Nets Using a Functional Programming Language	Higher-Order and Symbolic Computation	journal-article
4	10.1023/a:1010006229549	2000	10.1023/a:1010006229549	Higher-Order UnCurrying	Higher-Order and Symbolic Computation	journal-article
5	10.1007/s10990-009-9043-y	2009	10.1007/s10990-009-9043-y	Expressible sharing for functional circuit description	Higher-Order and Symbolic Computation	journal-article
6	10.1007/s10990-012-9087-2	2011	10.1007/s10990-012-9087-2	Functional un|unparsing	Higher-Order and Symbolic Computation	journal-article
7	10.1023/a:1010027404223	1998	10.1023/a:1010027404223	Definitional Interpreters for Higher-Order Programming Languages	Higher-Order and Symbolic Computation	journal-article
8	10.1007/s10990-013-9093-z	2012	10.1007/s10990-013-9093-z	Functional programs as compressed data	Higher-Order and Symbolic Computation	journal-article
9	10.1007/s10990-011-9064-1	2010	10.1007/s10990-011-9064-1	A functional approach to generic programming using adaptive traversals	Higher-Order and Symbolic Computation	journal-article
10	10.1007/s10990-012-9086-3	2011	10.1007/s10990-012-9086-3	Pruning with improving sequences in lazy functional programs	Higher-Order and Symbolic Computation	journal-article
11	10.1007/s10990-008-9037-1	2008	10.1007/s10990-008-9037-1	Nesting forward-mode AD in a functional framework	Higher-Order and Symbolic Computation	journal-article
12	10.1023/a:1025815202775	2003	10.1023/a:1025815202775	Editorial	Higher-Order and Symbolic Computation	journal-article
13	10.1023/a:1010023032358	1999	10.1023/a:1010023032358	Editorial	Higher-Order and Symbolic Computation	journal-article
14	10.1023/a:1022974204050	2002	10.1023/a:1022974204050	Editorial	Higher-Order and Symbolic Computation	journal-article
15	10.1023/a:1010025114115	1999	10.1023/a:1010025114115	Editorial	Higher-Order and Symbolic Computation	journal-article
16	10.1023/a:1010093700911	1999	10.1023/a:1010093700911	Continuation-Based Multiprocessing	Higher-Order and Symbolic Computation	journal-article
17	10.1007/s10990-013-9095-x	2012	10.1007/s10990-013-9095-x	An approach to completing variable names for implicitly typed functional languages	Higher-Order and Symbolic Computation	journal-article
18	10.1023/a:1010032817863	1998	10.1023/a:1010032817863	Editorial	Higher-Order and Symbolic Computation	journal-article
19	10.1023/a:1011513031288	2001	10.1023/a:1011513031288	Editorial	Higher-Order and Symbolic Computation	journal-article
20	10.1023/a:1010002000861	1999	10.1023/a:1010002000861	Editorial	Higher-Order and Symbolic Computation	journal-article
21	10.1023/a:1010047103315	1998	10.1023/a:1010047103315	Editorial	Higher-Order and Symbolic Computation	journal-article
22	10.1023/a:1010089522078	1999	10.1023/a:1010089522078	Introduction	Higher-Order and Symbolic Computation	journal-article
23	10.1023/a:1010014500357	2000	10.1023/a:1010014500357	Editorial	Higher-Order and Symbolic Computation	journal-article
24	10.1023/a:1026586714900	2000	10.1023/a:1026586714900	Editorial	Higher-Order and Symbolic Computation	journal-article
25	10.1023/a:1010085415024	1999	10.1023/a:1010085415024	Growing a Language	Higher-Order and Symbolic Computation	journal-article
26	10.1023/a:1010052222987	1999	10.1023/a:1010052222987	Computing with Contexts	Higher-Order and Symbolic Computation	journal-article
27	10.1023/a:1010022412197	2000	10.1023/a:1010022412197	Editorial	Higher-Order and Symbolic Computation	journal-article
28	10.1023/a:1020834727430	2002	10.1023/a:1020834727430	Editorial	Higher-Order and Symbolic Computation	journal-article
29	10.1023/a:1010028231554	1998	10.1023/a:1010028231554	Introduction	Higher-Order and Symbolic Computation	journal-article
30	10.1023/a:1010074329461	2000	10.1023/a:1010074329461	Continuations Revisited	Higher-Order and Symbolic Computation	journal-article
31	10.1023/a:1010049917750	1999	10.1023/a:1010049917750	Continuation-Based Multiprocessing Revisited	Higher-Order and Symbolic Computation	journal-article
32	10.1007/s10990-008-9023-7	2008	10.1007/s10990-008-9023-7	Dynamic slicing of lazy functional programs based on redex trails	Higher-Order and Symbolic Computation	journal-article
33	10.1023/a:1010012532463	1998	10.1023/a:1010012532463	Retraction Approach to CPS Transform	Higher-Order and Symbolic Computation	journal-article
34	10.1023/a:1010062026735	2000	10.1023/a:1010062026735	Reminiscences of Christopher Strachey	Higher-Order and Symbolic Computation	journal-article
35	10.1007/s10990-009-9042-z	2009	10.1007/s10990-009-9042-z	Compilation of extended recursion in call-by-value functional languages	Higher-Order and Symbolic Computation	journal-article
36	10.1023/a:1019966413716	2002	10.1023/a:1019966413716	Editorial	Higher-Order and Symbolic Computation	journal-article
37	10.1023/b:lisp.0000029480.20108.7d	2004	10.1023/b:lisp.0000029480.20108.7d	Editorial	Higher-Order and Symbolic Computation	journal-article
38	10.1023/a:1012905312544	2001	10.1023/a:1012905312544	Editorial	Higher-Order and Symbolic Computation	journal-article
39	10.1023/a:1014426530629	2001	10.1023/a:1014426530629	Editorial	Higher-Order and Symbolic Computation	journal-article
40	10.1023/a:1010070228552	2000	10.1023/a:1010070228552	Christopher Strachey and Fundamental Concepts	Higher-Order and Symbolic Computation	journal-article
41	10.1023/a:1026547031739	2000	10.1023/a:1026547031739	Efficiency by Incrementalization: An Introduction	Higher-Order and Symbolic Computation	journal-article
42	10.1023/a:1010053724918	2000	10.1023/a:1010053724918	A Hard Act to Follow	Higher-Order and Symbolic Computation	journal-article
43	10.1023/a:1010057925827	2000	10.1023/a:1010057925827	My Years with Strachey	Higher-Order and Symbolic Computation	journal-article
44	10.1023/a:1010000313106	2000	10.1023/a:1010000313106	Fundamental Concepts in Programming Languages	Higher-Order and Symbolic Computation	journal-article
45	10.1023/a:1025824903683	2003	10.1023/a:1025824903683	Path Dependent Analysis of Logic Programs	Higher-Order and Symbolic Computation	journal-article
46	10.1023/a:1012944815270	2001	10.1023/a:1012944815270	Type-Based Useless-Variable Elimination	Higher-Order and Symbolic Computation	journal-article
47	10.1023/a:1010064516533	1998	10.1023/a:1010064516533	The π-Calculus in Direct Style	Higher-Order and Symbolic Computation	journal-article
48	10.1023/a:1010005808988	2000	10.1023/a:1010005808988	Christopher Strachey: A Personal Recollection	Higher-Order and Symbolic Computation	journal-article
49	10.1023/a:1019916231463	2002	10.1023/a:1019916231463	Dependent Types for Program Termination Verification	Higher-Order and Symbolic Computation	journal-article
